date,open,high,low,close,amount
2022-06-20,1099.46,1109.74,1086.75,1095.33,3490743.14
2022-06-21,1094.33,1098.9,1073.5,1083.02,3413289.55
2022-06-22,1084.71,1090.02,1063.59,1063.69,3110467.35
2022-06-23,1064.73,1083.1,1054.91,1081.84,3051190.82
2022-06-24,1084.61,1107.33,1084.61,1101.48,3374570.99
2022-06-27,1113.22,1121.45,1101.32,1103.4,3675787.67
2022-06-28,1105.11,1119.18,1084.59,1117.28,3608098.83
2022-06-29,1112.59,1121.24,1089.25,1090.68,3561841.74
2022-06-30,1092.46,1116.95,1090.5,1105.67,3365766.38
2022-07-01,1105.97,1107.86,1086.25,1089.03,3674076.85
2022-07-04,1087.34,1098.64,1073.04,1095.09,3950759.54
2022-07-05,1100.18,1106.99,1077.35,1090.93,3321180.76
2022-07-06,1092.7,1116.14,1091.41,1101.75,3284101.26
2022-07-07,1103.78,1113.73,1087.59,1111.67,3139913.85
2022-07-08,1117.18,1120.87,1100.55,1104.02,2863540.73
2022-07-11,1098.67,1098.67,1070.66,1081.16,2817168.12
2022-07-12,1081.9,1084.94,1049.21,1049.24,2602142.42
2022-07-13,1051.78,1061.41,1041.65,1052.79,2525526.67
2022-07-14,1052.43,1086.33,1049.65,1076.81,2898869.82
2022-07-15,1072.99,1093.82,1071.97,1072.26,2527506.57
2022-07-18,1075.71,1078.3,1053.35,1069.33,3094644.13
2022-07-19,1068.69,1073.06,1052.95,1061.85,2850353.59
2022-07-20,1066.2,1082.62,1066.2,1079.53,2622833.51
2022-07-21,1080.65,1109.54,1075.67,1091.41,3624161.35
2022-07-22,1099.62,1101.37,1076.35,1084.97,2782866.58
2022-07-25,1082.62,1095.69,1070.81,1073.76,2460302.25
2022-07-26,1072.54,1087.86,1066.13,1084.66,2667264.45
2022-07-27,1083.67,1098.37,1083.32,1095.7,2725636.47
2022-07-28,1102.44,1116.16,1094.66,1108.79,3282049.7
2022-07-29,1113.08,1113.32,1086.71,1088.91,2538296.67
2022-08-01,1081.62,1100.96,1068.19,1100.18,2770214.72
2022-08-02,1084.98,1107.24,1074.97,1094.91,3573009.65
2022-08-03,1099.44,1127.0,1090.61,1100.35,4332724.27
2022-08-04,1106.15,1119.5,1099.1,1110.92,3089983.52
2022-08-05,1115.02,1158.51,1112.92,1157.33,4618204.58
2022-08-08,1161.04,1161.04,1144.32,1152.58,4235986.15
2022-08-09,1152.91,1163.7,1141.34,1162.32,3898550.89
2022-08-10,1154.17,1170.52,1152.97,1156.16,3706962.29
2022-08-11,1163.54,1176.06,1150.98,1173.14,3563010.38
2022-08-12,1169.66,1174.4,1146.02,1146.19,2950962.16
2022-08-15,1145.02,1155.45,1138.06,1143.75,2883078.84
2022-08-16,1143.7,1154.43,1134.21,1137.3,2976090.93
2022-08-17,1136.8,1140.66,1127.89,1132.31,2963718.52
2022-08-18,1132.6,1148.38,1129.32,1146.63,3528308.33
2022-08-19,1146.33,1155.78,1108.16,1108.45,4409685.52
2022-08-22,1103.15,1111.4,1096.99,1107.28,3520066.74
2022-08-23,1109.25,1117.71,1105.68,1107.3,2777314.46
2022-08-24,1110.01,1112.75,1068.98,1068.98,3162474.08
2022-08-25,1071.98,1077.66,1044.77,1055.89,2729849.26
2022-08-26,1064.71,1069.26,1044.4,1045.99,2279837.55
2022-08-29,1032.04,1058.72,1029.89,1054.28,2878619.57
2022-08-30,1054.26,1064.76,1047.73,1050.28,2392004.42
2022-08-31,1048.4,1057.84,1023.47,1029.66,2710980.21
2022-09-01,1032.78,1041.92,1023.54,1025.66,2613958.18
2022-09-02,1027.47,1040.46,1022.58,1030.12,2475024.93
2022-09-05,1030.6,1034.95,1018.56,1024.39,2634220.6
2022-09-06,1025.86,1038.97,1016.65,1035.78,2722983.32
2022-09-07,1032.02,1065.17,1031.9,1049.58,2870024.3
2022-09-08,1050.32,1054.74,1040.05,1040.77,2298621.55
2022-09-09,1039.59,1042.11,1022.68,1033.78,2161855.0
2022-09-13,1034.5,1046.18,1028.77,1031.17,2001101.59
2022-09-14,1018.07,1033.45,1016.87,1031.3,1927936.8
2022-09-15,1035.76,1037.63,990.85,1000.08,2888894.67
2022-09-16,997.36,1018.72,997.36,998.52,2497458.53
2022-09-19,997.53,1003.15,970.87,975.55,2251571.21
2022-09-20,982.37,997.22,977.27,985.15,2061724.73
2022-09-21,980.62,983.8,968.71,970.39,1970718.93
2022-09-22,964.96,986.43,963.89,975.87,1763697.45
2022-09-23,975.58,984.11,956.11,960.94,2165903.52
2022-09-26,955.04,978.49,952.18,961.83,2078896.84
2022-09-27,963.49,976.45,959.2,976.45,2116590.73
2022-09-28,973.47,977.66,955.32,956.19,1791062.69
2022-09-29,962.45,970.11,955.61,961.47,1849813.27
2022-09-30,956.4,961.89,937.86,939.38,1786436.51
2022-10-10,933.02,934.96,895.2,897.34,2278138.61
2022-10-11,898.37,904.47,889.45,892.74,2092808.42
2022-10-12,890.29,926.19,871.45,924.91,2718473.21
2022-10-13,917.4,942.87,916.37,926.52,2471873.24
2022-10-14,936.42,961.5,925.93,954.92,3456919.52
2022-10-17,948.64,964.95,946.94,963.22,3108377.19
2022-10-18,964.97,968.13,952.99,960.0,2473815.97
2022-10-19,957.73,963.11,949.5,949.5,2422821.83
2022-10-20,944.16,976.71,938.33,963.95,3296684.26
2022-10-21,961.48,972.81,951.67,967.98,3024322.56
2022-10-24,967.56,989.65,960.62,969.49,3071168.6
2022-10-25,962.97,984.48,955.57,971.33,2930993.2
