date,code,name,continue_cnt,limit_up_reason,seal_money
2024-12-05,002579,中京电子,1,"机器人概念+智能穿戴；1. 机器人概念：消费及工业机器人均需较大量使用PCB（含FPC、RPC及R-F），公司已开始向相关客户提供应用产品服务。

2. 智能穿戴：2021年互动平台表示，公司重视可穿戴智能终端的产品应用，并积极进行相关技术开发和产能布局，并坚持大客户，大市场，新技术跟踪开发策略。",49056200.0
2025-06-18,002579,中京电子,1,"印制电路板+AI眼镜；IT之家 6 月 16 日消息，据外媒 VGC 昨日报道，任天堂 Switch 2 刷新了美国历史上首发销量最高的游戏主机的纪录。

1. 印制电路板：子公司元盛电子为Switch系列供应FPC。公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。

2. AI眼镜：2024年8月16日互动易：公司的部分PCB产品有在VR/AR智能眼镜等领域配套应用。",95778100.0
2025-06-19,002579,中京电子,2,"印制电路板+AI眼镜；IT之家 6 月 16 日消息，据外媒 VGC 昨日报道，任天堂 Switch 2 刷新了美国历史上首发销量最高的游戏主机的纪录。

1. 印制电路板：子公司元盛电子为Switch系列供应FPC。公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。

2. AI眼镜：2024年8月16日互动易：公司的部分PCB产品有在VR/AR智能眼镜等领域配套应用。",626071000.0
2025-06-20,002579,中京电子,3,"印制电路板+AI眼镜；IT之家 6 月 16 日消息，据外媒 VGC 昨日报道，任天堂 Switch 2 刷新了美国历史上首发销量最高的游戏主机的纪录。

1. 印制电路板：子公司元盛电子为Switch系列供应FPC。公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。

2. AI眼镜：2024年8月16日互动易：公司的部分PCB产品有在VR/AR智能眼镜等领域配套应用。",141297000.0
2025-06-24,002579,中京电子,4,"印制电路板+AI眼镜；IT之家 6 月 16 日消息，据外媒 VGC 昨日报道，任天堂 Switch 2 刷新了美国历史上首发销量最高的游戏主机的纪录。

1. 印制电路板：子公司元盛电子为Switch系列供应FPC。公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。

2. AI眼镜：2024年8月16日互动易：公司的部分PCB产品有在VR/AR智能眼镜等领域配套应用。",25426500.0
2025-06-27,002579,中京电子,5,"印制电路板+存储；1. 印制电路板：子公司元盛电子为Switch系列供应FPC。公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。

2. 存储：公司IC载板及PCB产品己用于存储芯片等封装及新能源相关领域。",72353100.0
2025-06-30,002579,中京电子,6,"印制电路板+存储；1. 印制电路板：子公司元盛电子为Switch系列供应FPC。公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。

2. 存储：公司IC载板及PCB产品己用于存储芯片等封装及新能源相关领域。",96779700.0
2025-07-03,002579,中京电子,7,"印制电路板+存储；1. 印制电路板：子公司元盛电子为Switch系列供应FPC。公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。

2. 存储：公司IC载板及PCB产品己用于存储芯片等封装及新能源相关领域。",127416000.0
2025-09-11,002579,中京电子,1,"印制电路板+存储；1. 印制电路板：子公司元盛电子为Switch系列供应FPC。公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。

2. 存储：公司IC载板及PCB产品已用于存储芯片等封装及新能源相关领域。",43590000.0
2026-04-01,002579,中京电子,1,"印制电路板+存储；1. 印制电路板：子公司元盛电子为Switch系列供应FPC。公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。

2. 存储：公司IC载板及PCB产品已用于存储芯片等封装及新能源相关领域。",74997300.0
2026-05-26,002579,中京电子,1,"印制电路板+存储；5月22日公告，公司本次向特定对象发行募集资金总额为不超过人民币 70,000.00 万元（含本数），在扣除相关发行费用后将全部用于泰国 PCB 智能化生产基地项目、惠州中京产线技改与升级项目及补充流动资金。

1. 印制电路板：子公司元盛电子为Switch系列供应FPC。公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。

2. 存储：公司IC载板及PCB产品已用于存储芯片等封装及新能源相关领域。",926796000.0
2026-05-27,002579,中京电子,2,"印制电路板+存储；1. 印制电路板：据2026年5月15日公告：公司PCB产品已批量应用于相关知名的存储模组企业；同时公司部分PCB产品已配套于交换机、GPU加速卡、服务器、光模块等算力相关领域

2. 存储：据2026年5月20日公告，在数据存储领域，公司已与佰维存储、江波龙、深科技等国内主要存储模组厂商建立合作，未来公司继续切入服务器、嵌入式存储等高价值PCB赛道，提高高毛利的高阶HDI产品收入。",375382000.0
2026-05-28,002579,中京电子,3,"印制电路板+存储；1. 印制电路板：5月22日公告，定增事项正在深交所审核反馈回复阶段，公司拟募资建设泰国PCB智能化生产基地及珠海富山高密度PCB扩产项目。

2. 存储：据2026年5月20日公告，在数据存储领域，公司已与佰维存储、江波龙、深科技等国内主要存储模组厂商建立合作，未来公司继续切入服务器、嵌入式存储等高价值PCB赛道，提高高毛利的高阶HDI产品收入。",173413000.0
2026-06-01,002579,中京电子,4,"印制电路板+存储；1. 印制电路板：5月22日公告，定增事项正在深交所审核反馈回复阶段，公司拟募资建设泰国PCB智能化生产基地及珠海富山高密度PCB扩产项目。

2. 存储：据2026年5月20日公告，在数据存储领域，公司已与佰维存储、江波龙、深科技等国内主要存储模组厂商建立合作，未来公司继续切入服务器、嵌入式存储等高价值PCB赛道，提高高毛利的高阶HDI产品收入。",263225000.0
2026-06-02,002579,中京电子,5,"AI PC+印制电路板；1. AI PC：2025年3月14日互动易：目前公司PCB主要应用于AI 手机、AI PC、AI 眼镜、GPU加速卡等AI大模型直接或间接领域。

2. 印制电路板：5月22日公告，定增事项正在深交所审核反馈回复阶段，公司拟募资建设泰国PCB智能化生产基地及珠海富山高密度PCB扩产项目。",178551000.0
2026-06-17,002579,中京电子,1,"印制电路板+AI PC；1. 印制电路板：据2026年6月9日公告，中京电子拟向不超过35名特定对象发行股票，募集资金总额不超过7.00亿元，其中3.00亿元将用于“泰国PCB智能化生产基地项目”，旨在“通过新建智能化生产厂房、引进国内外先进的印制电路板生产设备及配套设施，并组建高素质的专业技术和管理团队等方式，全面提升公司在印制电路板领域的全球供应能力，以满足公司海外客户日益增长的订单需求”

2. AI PC：2025年3月14日互动易：目前公司PCB主要应用于AI 手机、AI PC、AI 眼镜、GPU加速卡等AI大模型直接或间接领域。",125644000.0
2026-06-18,002579,中京电子,2,"印制电路板+AI PC；1. 印制电路板：据2026年6月9日公告，中京电子拟向不超过35名特定对象发行股票，募集资金总额不超过7.00亿元，其中3.00亿元将用于“泰国PCB智能化生产基地项目”，旨在“通过新建智能化生产厂房、引进国内外先进的印制电路板生产设备及配套设施，并组建高素质的专业技术和管理团队等方式，全面提升公司在印制电路板领域的全球供应能力，以满足公司海外客户日益增长的订单需求”

2. AI PC：2025年3月14日互动易：目前公司PCB主要应用于AI 手机、AI PC、AI 眼镜、GPU加速卡等AI大模型直接或间接领域。",166496000.0
2026-06-25,002579,中京电子,1,"印制电路板+AI PC；1. 印制电路板：据2026年6月9日公告，中京电子拟向不超过35名特定对象发行股票，募集资金总额不超过7.00亿元，其中3.00亿元将用于“泰国PCB智能化生产基地项目”，旨在“通过新建智能化生产厂房、引进国内外先进的印制电路板生产设备及配套设施，并组建高素质的专业技术和管理团队等方式，全面提升公司在印制电路板领域的全球供应能力，以满足公司海外客户日益增长的订单需求”

2. AI PC：2025年3月14日互动易：目前公司PCB主要应用于AI 手机、AI PC、AI 眼镜、GPU加速卡等AI大模型直接或间接领域。",114023000.0
2026-07-09,002579,中京电子,1,"印制电路板+AI PC；1. 印制电路板：据2026年6月17日晚公告，中京电子拟向不超过35名特定对象发行股票，募集资金总额不超过7.00亿元，其中3.00亿元将用于“泰国PCB智能化生产基地项目”，旨在“通过新建智能化生产厂房、引进国内外先进的印制电路板生产设备及配套设施，并组建高素质的专业技术和管理团队等方式，全面提升公司在印制电路板领域的全球供应能力，以满足公司海外客户日益增长的订单需求”

2. AI PC：2025年3月14日互动易：目前公司PCB主要应用于AI 手机、AI PC、AI 眼镜、GPU加速卡等AI大模型直接或间接领域。",118165000.0
2026-08-04,002579,中京电子,1,通信(印制电路板)；据2026年6月26日公告，中京电子拟向不超过35名特定对象发行股票，募资总额不超过7.00亿元，用于泰国PCB智能化生产基地项目和惠州中京产线技改与升级项目。泰国项目拟建设印制电路板生产基地，通过新建智能化生产厂房、引进国内外先进的印制电路板生产设备及配套设施，并组建高素质的专业技术和管理团队等方式，全面提升公司在印制电路板领域的全球供应能力，以满足公司海外客户日益增长的订单需求。,142549000.0
2026-08-05,002579,中京电子,2,通信(印制电路板)；据2026年6月26日公告，中京电子拟向不超过35名特定对象发行股票，募资总额不超过7.00亿元，用于泰国PCB智能化生产基地项目和惠州中京产线技改与升级项目。泰国项目拟建设印制电路板生产基地，通过新建智能化生产厂房、引进国内外先进的印制电路板生产设备及配套设施，并组建高素质的专业技术和管理团队等方式，全面提升公司在印制电路板领域的全球供应能力，以满足公司海外客户日益增长的订单需求。,132994000.0
2026-08-20,002579,中京电子,1,通信(PCB)；8月8日公告，中京电子获中国证监会同意向特定对象发行股票注册批复，批复自注册之日起12个月内有效。据2026年6月26日公告，中京电子拟向不超过35名特定对象发行股票，募资总额不超过7.00亿元，用于泰国PCB智能化生产基地项目和惠州中京产线技改与升级项目。泰国项目拟建设印制电路板生产基地，通过新建智能化生产厂房、引进国内外先进的印制电路板生产设备及配套设施，并组建高素质的专业技术和管理团队等方式，全面提升公司在印制电路板领域的全球供应能力，以满足公司海外客户日益增长的订单需求。,185183000.0
2026-09-07,002579,中京电子,1,通信(PCB)；据2026年9月1日互动易，公司HDI产品技术处于行业先进水平，一般按阶数划分，目前可量产9-11阶产品。据2026年半年报，公司主营业务为印制电路板（PCB）的研发、生产、销售与服务，主要产品为刚性电路板（RPCB）、高密度互联板（HDI）、柔性电路板（FPC）、刚柔结合板（R-F）、柔性电路板组件（FPCA）、M-SAP类产品等，产品广泛应用于消费电子、汽车电子、网络通信、数据中心、新型高清显示、安防工控等领域；公司系国内少数兼具刚柔PCB规模化量产与全链条研发能力的厂商，2014年起布局HDI研发量产，现已实现二阶、三阶、四阶、任意阶（Anylayer HDI）大批量生产能力。,161399000.0
2026-09-08,002579,中京电子,2,通信(PCB)；据2026年9月1日互动易，公司HDI产品技术处于行业先进水平，一般按阶数划分，目前可量产9-11阶产品。据2026年半年报，公司主营业务为印制电路板（PCB）的研发、生产、销售与服务，主要产品为刚性电路板（RPCB）、高密度互联板（HDI）、柔性电路板（FPC）、刚柔结合板（R-F）、柔性电路板组件（FPCA）、M-SAP类产品等，产品广泛应用于消费电子、汽车电子、网络通信、数据中心、新型高清显示、安防工控等领域；公司系国内少数兼具刚柔PCB规模化量产与全链条研发能力的厂商，2014年起布局HDI研发量产，现已实现二阶、三阶、四阶、任意阶（Anylayer HDI）大批量生产能力。,240188000.0
